keyword	tag	ent_type	parent
AccessionNumber	(0008,0050)	attribute	referenced_request_sequence
AccessionNumber	(0008,0050)	attribute	request
AccessionNumber	(0008,0050)	attribute	imaging_service_request
AccessionNumber	(0008,0050)	attribute	general_study
AccessionNumber	(0008,0050)	attribute	scheduled_step_attributes_sequence
AcquisitionComments			
AcquisitionContextSequence	(0040,0555)	attribute	acquisition_context
AcquisitionContrast	(0008,9209)	attribute	mr_spectroscopy_description
AcquisitionContrast	(0008,9209)	attribute	mr_image_description
AcquisitionDate	(0008,0022)	attribute	general_image
AcquisitionDate	(0008,0022)	attribute	pet_image
AcquisitionDateTime	(0008,002A)	attribute	whole_slide_microscopy_image
AcquisitionDateTime	(0008,002A)	attribute	waveform_identification
AcquisitionDateTime	(0008,002A)	attribute	enhanced_pet_image
AcquisitionDateTime	(0008,002A)	attribute	general_image
AcquisitionDateTime	(0008,002A)	attribute	scan_procedure
AcquisitionDateTime	(0008,002A)	attribute	enhanced_ct_image
AcquisitionDateTime	(0008,002A)	attribute	mr_image_and_spectroscopy_instance
AcquisitionDateTime	(0008,002A)	attribute	corneal_topography_map_image
AcquisitionDateTime	(0008,002A)	attribute	intravascular_oct_image
AcquisitionDateTime	(0008,002A)	attribute	raw_data
AcquisitionDateTime	(0008,002A)	attribute	encapsulated_document
AcquisitionDateTime	(0008,002A)	attribute	us_image
AcquisitionDateTime	(0008,002A)	attribute	general_contributing_sources
AcquisitionDateTime	(0008,002A)	attribute	ophthalmic_photography_image
AcquisitionDateTime	(0008,002A)	attribute	ophthalmic_thickness_map
AcquisitionDateTime	(0008,002A)	attribute	enhanced_us_image
AcquisitionDateTime	(0008,002A)	attribute	enhanced_mammography_image
AcquisitionDateTime	(0008,002A)	attribute	ophthalmic_tomography_image
AcquisitionDeviceProcessingCode	(0018,1401)	attribute	contributing_sources_sequence
AcquisitionDeviceProcessingCode	(0018,1401)	attribute	contributing_sources_sequence
AcquisitionDeviceProcessingCode	(0018,1401)	attribute	dx_image
AcquisitionDeviceProcessingCode	(0018,1401)	attribute	xa/xrf_frame_characteristics_sequence
AcquisitionDeviceProcessingCode	(0018,1401)	attribute	cr_image
AcquisitionDeviceProcessingDescription	(0018,1400)	attribute	whole_slide_microscopy_image
AcquisitionDeviceProcessingDescription	(0018,1400)	attribute	contributing_sources_sequence
AcquisitionDeviceProcessingDescription	(0018,1400)	attribute	x_ray_image
AcquisitionDeviceProcessingDescription	(0018,1400)	attribute	dx_image
AcquisitionDeviceProcessingDescription	(0018,1400)	attribute	xa/xrf_frame_characteristics_sequence
AcquisitionDeviceProcessingDescription	(0018,1400)	attribute	cr_image
